pais1,pais2
1,18
1,19
1,33
1,38
1,44
1,46
1,49
1,61
1,65
1,81
1,85
1,93
2,5
2,29
2,31
2,46
2,62
2,67
2,71
2,89
2,91
2,93
3,17
3,18
3,26
3,27
3,35
3,44
3,47
3,54
3,63
3,73
3,79
3,94
4,11
4,24
4,35
4,56
4,62
4,70
4,84
4,98
5,27
5,44
5,52
5,58
5,63
5,75
5,80
5,91
5,95
6,34
6,41
6,51
6,61
6,64
6,70
6,71
6,91
6,95
7,29
7,34
7,60
7,70
7,72
7,89
7,94
8,31
8,36
8,45
8,52
8,58
8,76
8,96
9,24
9,31
9,47
9,48
9,72
9,73
9,97
9,98
10,11
10,13
10,20
10,21
10,24
10,26
10,28
10,46
10,53
10,56
10,67
10,70
10,71
10,98
11,32
11,34
11,40
11,42
11,48
11,53
11,57
11,58
11,60
11,68
11,70
11,71
11,88
12,14
12,15
12,31
12,35
12,44
12,66
12,71
12,89
13,14
13,54
13,59
13,68
13,75
13,76
13,81
13,85
13,95
14,15
14,27
14,49
14,71
14,75
14,78
14,95
15,24
15,31
15,33
15,38
15,52
15,59
15,72
15,86
16,25
16,26
16,41
16,45
16,48
16,56
16,61
16,67
16,75
16,79
16,86
17,24
17,33
17,37
17,57
17,61
17,80
17,90
17,97
18,21
18,22
18,33
18,44
18,45
18,48
18,58
18,97
19,24
19,33
19,36
19,50
19,54
19,68
19,72
19,78
19,83
19,86
19,93
20,22
20,57
20,58
20,63
20,65
20,77
20,92
21,24
21,40
21,43
21,74
21,86
21,88
21,91
22,48
22,51
22,52
22,66
22,94
23,24
23,29
23,43
23,46
23,64
23,69
23,72
23,79
23,82
23,95
23,96
24,27
24,40
24,45
24,47
24,49
24,50
24,58
24,60
24,87
24,90
24,94
24,96
25,54
26,29
26,55
26,81
26,85
26,90
27,29
27,32
27,33
27,34
27,38
27,42
27,43
27,49
27,64
27,66
27,71
27,74
27,82
27,83
27,84
28,30
28,35
28,48
28,52
28,57
28,59
28,61
28,63
28,78
28,85
28,99
29,32
29,39
29,48
29,52
29,63
29,82
29,98
30,37
30,38
30,49
30,50
30,54
30,56
30,64
30,76
30,81
30,83
30,91
31,34
31,35
31,44
31,65
31,71
31,76
31,86
31,96
32,39
32,50
32,54
32,56
32,65
32,75
32,99
33,39
33,43
33,55
33,72
34,46
34,55
34,66
34,73
34,75
34,82
34,86
34,87
34,89
34,90
35,47
35,99
36,38
36,39
36,46
36,55
36,61
36,63
36,94
36,98
37,43
37,45
37,50
37,59
37,61
37,70
37,77
37,97
38,41
38,43
38,45
38,48
38,83
38,97
39,62
40,42
40,43
40,53
40,54
40,98
41,60
41,69
41,71
41,76
41,78
42,43
42,45
42,61
42,79
42,95
43,52
43,58
43,73
43,90
43,91
44,51
44,58
44,72
44,73
44,87
44,92
45,47
45,54
45,56
45,92
45,97
46,63
46,70
46,93
47,65
48,52
48,53
48,57
48,72
49,55
49,62
49,70
49,89
50,68
50,74
50,82
50,87
50,88
50,90
50,98
50,99
51,56
51,66
51,84
51,98
52,70
52,79
53,70
53,73
53,77
54,80
54,83
54,88
54,95
55,74
55,87
55,94
55,96
55,99
56,61
56,79
56,91
56,96
57,70
57,84
58,64
58,68
58,75
58,85
58,87
58,90
58,92
58,93
58,99
59,67
59,79
59,87
59,88
59,99
60,67
60,74
60,89
60,92
61,62
61,81
62,65
62,70
62,74
62,94
62,95
62,97
62,99
63,73
63,88
63,92
64,72
64,91
64,93
65,75
65,84
65,86
65,94
65,97
66,74
66,79
66,82
67,72
67,80
67,96
67,97
68,75
68,82
68,84
68,88
68,99
69,75
70,75
70,76
70,82
70,95
71,77
71,85
71,90
71,97
72,77
72,87
72,94
72,95
72,96
73,79
73,89
73,95
75,99
76,94
77,85
78,93
78,98
79,91
80,83
80,90
81,88
81,92
82,83
82,84
83,85
83,96
83,97
84,85
85,90
86,97
87,96
88,95
89,94
89,99
93,96
94,95
95,97
98,99

