r,x,y,l,c
8.8724229215,35.7259398077,1.4961660217,4185.4303609171,11.8721631757
4.0519787557,25.7496547551,20.8448430378,7339.1271969307,1.182365766
1.6007838761,18.0361303294,46.447311601,2420.9637181729,2.271382242
4.909646457,14.1692817357,36.8429906501,4496.3865232214,2.1688490234
0.1950519199,46.4567615152,23.6972471343,5581.3237344686,10.6760181053
5.9092012081,38.6580275492,25.0686269251,9101.4624437702,11.5413154236
5.7334652007,36.4470539541,30.6416221878,8491.1060614264,10.4438934431
8.9576972903,15.8119769181,23.9638426371,9066.8338215545,8.847607732
6.9378140118,41.8357127247,0.9451342697,4828.1598371485,13.6634372169
2.1621607135,28.1649325405,9.4154694203,2538.881642627,10.7851928205
4.9384778437,47.8281277797,25.9098334283,1337.4524989819,14.7010253278
2.7833081931,26.3569003291,27.3061018655,3957.2961592622,6.2462629297
3.6889466446,26.9777191802,34.9084396311,2015.546742902,9.5463457666
9.8554911005,45.4129435866,45.2274999169,3399.8557380783,1.5206751257
1.4797604203,39.2750508147,22.9340624148,5487.1077782274,3.2274682255
7.1965387775,40.4812812722,38.1892603372,3055.7219378417,8.1760549477
2.3839858716,13.3535366109,31.8877074708,7635.8962988357,12.2524435632
6.3442700132,18.8008535257,6.0165652808,9204.1692176736,1.4008987448
8.4325321897,9.842758958,6.1025118588,1613.2147970049,3.3340908669
5.592704325,44.034451357,13.1723202643,4929.8342359387,0.0425858118
9.9932748478,28.6090054027,17.4199127842,8138.3855885105,4.5776070753
3.0822126524,44.8774058813,44.6999190886,7804.1419929363,5.5782870082
1.8402214218,2.9667874937,32.3700907645,6473.6208495879,10.4193142459
8.5764670979,13.2559384885,17.1841570145,5088.0838453639,3.6021291652
6.7480519888,21.6373202504,39.3127099905,1356.2769495685,5.3503770827
0.7381719956,11.6856274455,21.3361494632,355.6080332607,6.4720722398
3.1878788892,10.6695652007,34.6568060783,6977.4642096739,6.314057598
4.9940733059,21.8744945501,14.9275189042,6851.7786565214,0.4953153869
8.8357659277,13.5613898403,48.5131715575,2053.6794085891,7.6181493624
5.0289912216,14.2802820494,40.7015650835,540.3156181243,4.1801659063
0.2553986302,3.5556916513,9.0394410723,8934.2101048447,10.6891625077
7.3569091586,32.4975980706,47.8033702261,1252.6253399192,10.5475351634
2.4585520944,10.3750485354,44.9617597306,6376.774153872,13.0086018076
6.563774872,16.6448625437,49.9026945564,7723.5499920807,3.2513876174
7.7561216127,6.0421372452,12.7545066084,7745.1194021602,0.2421089584
4.7585477713,30.2319872396,38.3826810967,7992.1087652203,4.150444442
7.8390576255,8.4655461678,19.7250861555,7589.9161571402,8.1861840203
4.1869944253,15.5906872743,33.6005721884,7665.5736685309,13.6071656969
1.279917542,25.5009191826,34.8628464178,824.3325883301,8.5240388332
6.9399508639,9.4763851563,6.1846855852,129.7415983911,2.9447621577
3.0041247,32.4193821173,31.2091011193,2830.2858101268,0.8728405293
9.1930912235,23.5065060942,20.676411888,9763.6829627316,2.6085485236
6.2990702501,39.621384111,4.7814004333,3058.9432065819,11.7267614751
8.7126009576,41.6280481845,4.0687275514,4398.6180131284,14.6631234137
9.8685149288,49.148715841,47.6655033769,7189.5078875162,6.311576506
6.7283988617,42.3707792469,38.3829678307,996.402536957,1.0365302366
0.9385185667,2.8665527179,1.4730181629,8582.8739624692,6.5567474067
7.1290718202,5.7473463893,4.341493864,7308.8663749682,11.8512241168
8.3589780582,32.5557703316,8.629718355,642.6992151749,3.7028902562
9.2105580412,22.0752507924,20.4505461495,2609.3279766538,13.9421907867
2.329310246,23.5835978656,2.3613171594,2452.7877966082,6.8780490922
0.7387637713,18.230343346,21.651675049,1322.5900196845,13.9568951134
9.454579801,45.3348283774,38.5470306887,9089.2307480893,14.0862300779
1.4752363872,36.8539255287,22.096353458,9410.4509580846,14.8167390834
8.4285262473,40.9818195959,28.7598323717,704.6347991494,8.4050115426
0.9314176653,4.3271612719,5.4886376941,8031.9990423965,13.4621152101
0.4373136533,19.9179513435,28.042796667,3553.4450922858,11.5473341378
9.8845766559,37.1487533842,15.3151906713,7423.4857025445,6.6346895665
